Instrument Type,Symbol,ExpiryDate,Underlying Commodity,Strike Price,Option Type,Ex-Basis Delivery Centre,Price Unit,Opening Price,High Price,Low Price,Closing Price,Quantity Traded Today,Measure,No of Trades,Traded Value in Lacs,Open Interest,LastTradedDate
FUTIDX,AGRIDEX,8/31/2021,NCDEX AGRIDEX,0,XX,NA,RS/UNIT,0,0,0,1474.75,0,LOT,0,0,0,NOTRADE
FUTIDX,AGRIDEX,9/30/2021,NCDEX AGRIDEX,0,XX,NA,RS/UNIT,0,0,0,1474.75,0,LOT,0,0,0,NOTRADE
FUTIDX,AGRIDEX,12/31/2021,NCDEX AGRIDEX,0,XX,NA,RS/UNIT,0,0,0,1474.75,0,LOT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,4700,CE,BIKANER,RS/QUINTAL,0,0,0,548.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,4750,CE,BIKANER,RS/QUINTAL,0,0,0,512.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,4800,CE,BIKANER,RS/QUINTAL,0,0,0,477.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,4850,CE,BIKANER,RS/QUINTAL,0,0,0,444.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,4900,CE,BIKANER,RS/QUINTAL,0,0,0,412.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,4950,CE,BIKANER,RS/QUINTAL,0,0,0,382,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5000,CE,BIKANER,RS/QUINTAL,0,0,0,352.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5050,CE,BIKANER,RS/QUINTAL,0,0,0,325,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5100,CE,BIKANER,RS/QUINTAL,0,0,0,299,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5150,CE,BIKANER,RS/QUINTAL,0,0,0,274.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5200,CE,BIKANER,RS/QUINTAL,0,0,0,251.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5250,CE,BIKANER,RS/QUINTAL,0,0,0,229.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5300,CE,BIKANER,RS/QUINTAL,0,0,0,209.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5350,CE,BIKANER,RS/QUINTAL,0,0,0,190.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5400,CE,BIKANER,RS/QUINTAL,0,0,0,172.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5450,CE,BIKANER,RS/QUINTAL,0,0,0,156.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5500,CE,BIKANER,RS/QUINTAL,0,0,0,141.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5550,CE,BIKANER,RS/QUINTAL,0,0,0,127.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5600,CE,BIKANER,RS/QUINTAL,0,0,0,114.5,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5650,CE,BIKANER,RS/QUINTAL,0,0,0,103,0,MT,0,0,0,NOTRADE
OPTFUT,CHANA,11/18/2021,CHANA18-NOV-2021,5700,CE,BIKANER,RS/QUINTAL,0,0,0,92,0,MT,0,0,0,NOTRADE
